DATE,construction material price
01/01/02,142
01/02/02,142.2
01/03/02,143.2
01/04/02,143.5
01/05/02,143.8
01/06/02,144.3
01/07/02,144.7
01/08/02,145.1
01/09/02,145.4
01/10/02,145
01/11/02,144.6
01/12/02,144.3
01/01/03,144.4
01/02/03,145.2
01/03/03,145.2
01/04/03,145.9
01/05/03,145.8
01/06/03,146.1
01/07/03,147
01/08/03,147.2
01/09/03,149
01/10/03,149.6
01/11/03,150.2
01/12/03,149.7
01/01/04,150
01/02/04,153.4
01/03/04,156.5
01/04/04,160.1
01/05/04,162.7
01/06/04,162
01/07/04,162.2
01/08/04,165.9
01/09/04,167.2
01/10/04,165.9
01/11/04,165.5
01/12/04,166.3
01/01/05,168.6
01/02/05,170.4
01/03/05,170
01/04/05,170
01/05/05,168.1
01/06/05,167.8
01/07/05,167.2
01/08/05,165.9
01/09/05,168.9
01/10/05,171.6
01/11/05,172.7
01/12/05,173.5
01/01/06,177.2
01/02/06,177.7
01/03/06,178.3
01/04/06,179
01/05/06,179.9
01/06/06,180.7
01/07/06,182.3
01/08/06,182.6
01/09/06,183.3
01/10/06,182.3
01/11/06,179.8
01/12/06,179.8
01/01/07,181.1
01/02/07,181.5
01/03/07,182.5
01/04/07,183.7
01/05/07,184
01/06/07,184
01/07/07,184.2
01/08/07,183.9
01/09/07,183.4
01/10/07,183
01/11/07,183.3
01/12/07,183.5
01/01/08,184.3
01/02/08,185.7
01/03/08,187.8
01/04/08,190.9
01/05/08,195.8
01/06/08,200.4
01/07/08,203.4
01/08/08,206.5
01/09/08,206.3
01/10/08,201.8
01/11/08,199.6
01/12/08,194.8
01/01/09,193.3
01/02/09,191.2
01/03/09,190.2
01/04/09,188.1
01/05/09,186.9
01/06/09,187.1
01/07/09,187.6
01/08/09,188.1
01/09/09,189.3
01/10/09,189.7
01/11/09,189.2
01/12/09,189.4
01/01/10,190.3
01/02/10,192.2
01/03/10,193.7
01/04/10,196.5
01/05/10,198.9
01/06/10,197.2
01/07/10,195.6
01/08/10,194.1
01/09/10,193.9
01/10/10,193.8
01/11/10,193.6
01/12/10,194.2
01/01/11,195.9
01/02/11,198.1
01/03/11,199.7
01/04/11,201.1
01/05/11,201.6
01/06/11,201.9
01/07/11,202.6
01/08/11,202.8
01/09/11,202.7
01/10/11,202.7
01/11/11,202.2
01/12/11,202.2
01/01/12,203.9
01/02/12,205.1
01/03/12,205.7
01/04/12,206.3
01/05/12,206.5
01/06/12,206.6
01/07/12,206.2
01/08/12,205.5
01/09/12,206.6
01/10/12,205.5
01/11/12,205.6
01/12/12,206.4
01/01/13,208.4
01/02/13,209.1
01/03/13,209.8
01/04/13,210.7
01/05/13,209.5
01/06/13,208.8
01/07/13,208.3
01/08/13,208.9
01/09/13,208.9
01/10/13,209.3
01/11/13,209.8
01/12/13,209.8
01/01/14,211.7
01/02/14,212.7
01/03/14,213.4
01/04/14,213.6
01/05/14,214.3
01/06/14,214.5
01/07/14,214.8
01/08/14,215.5
01/09/14,215.7
01/10/14,215.9
01/11/14,215.8
01/12/14,215.5
01/01/15,215.8
01/02/15,215.3
01/03/15,215
01/04/15,214.5
01/05/15,213.7
01/06/15,213.7
01/07/15,213.7
01/08/15,213.3
01/09/15,212.5
01/10/15,212.4
01/11/15,211.7
01/12/15,210.9
01/01/16,211.4
01/02/16,211.3
01/03/16,211.6
01/04/16,212.7
01/05/16,213.7
01/06/16,214.6
01/07/16,215.3
01/08/16,216
01/09/16,215.3
01/10/16,214.8
01/11/16,214.5
01/12/16,215.5
01/01/17,217.3
01/02/17,218.8
01/03/17,219.7
01/04/17,221
01/05/17,221.7
01/06/17,221.9
01/07/17,221.9
01/08/17,222.4
01/09/17,223.1
01/10/17,223.9
01/11/17,223.9
01/12/17,224.1
01/01/18,225.8
01/02/18,228.7
01/03/18,231.3
01/04/18,232.4
01/05/18,236.8
01/06/18,239.2
01/07/18,239.6
01/08/18,239.4
01/09/18,240
01/10/18,238.7
01/11/18,238.8
01/12/18,238.3
01/01/19,238.5
01/02/19,238.1
01/03/19,238.1
01/04/19,237.2
01/05/19,237.3
01/06/19,236.3
01/07/19,235.6
01/08/19,234.4
01/09/19,234.4
01/10/19,233.8
01/11/19,232.8
01/12/19,232.2
01/01/20,233.4
01/02/20,234.6
01/03/20,236.3
01/04/20,234.3
01/05/20,233.3
01/06/20,234.8
01/07/20,237
01/08/20,240.9
01/09/20,246.2
01/10/20,246.4
01/11/20,244.3
