DATE,one family houses sold
01/01/02,880
01/02/02,948
01/03/02,923
01/04/02,936
01/05/02,978
01/06/02,957
01/07/02,956
01/08/02,1014
01/09/02,1044
01/10/02,1006
01/11/02,1024
01/12/02,1048
01/01/03,999
01/02/03,936
01/03/03,999
01/04/03,1012
01/05/03,1078
01/06/03,1193
01/07/03,1168
01/08/03,1206
01/09/03,1131
01/10/03,1144
01/11/03,1093
01/12/03,1129
01/01/04,1165
01/02/04,1159
01/03/04,1276
01/04/04,1186
01/05/04,1241
01/06/04,1180
01/07/04,1088
01/08/04,1175
01/09/04,1214
01/10/04,1305
01/11/04,1179
01/12/04,1242
01/01/05,1203
01/02/05,1319
01/03/05,1328
01/04/05,1260
01/05/05,1286
01/06/05,1274
01/07/05,1389
01/08/05,1255
01/09/05,1244
01/10/05,1336
01/11/05,1214
01/12/05,1239
01/01/06,1174
01/02/06,1061
01/03/06,1116
01/04/06,1123
01/05/06,1086
01/06/06,1074
01/07/06,965
01/08/06,1035
01/09/06,1016
01/10/06,941
01/11/06,1003
01/12/06,998
01/01/07,891
01/02/07,828
01/03/07,833
01/04/07,887
01/05/07,842
01/06/07,793
01/07/07,778
01/08/07,699
01/09/07,686
01/10/07,727
01/11/07,641
01/12/07,619
01/01/08,627
01/02/08,593
01/03/08,535
01/04/08,536
01/05/08,504
01/06/08,487
01/07/08,477
01/08/08,435
01/09/08,433
01/10/08,393
01/11/08,389
01/12/08,377
01/01/09,336
01/02/09,372
01/03/09,339
01/04/09,337
01/05/09,376
01/06/09,393
01/07/09,411
01/08/09,418
01/09/09,386
01/10/09,396
01/11/09,375
01/12/09,352
01/01/10,345
01/02/10,336
01/03/10,381
01/04/10,422
01/05/10,280
01/06/10,305
01/07/10,283
01/08/10,282
01/09/10,317
01/10/10,291
01/11/10,287
01/12/10,326
01/01/11,307
01/02/11,270
01/03/11,300
01/04/11,310
01/05/11,305
01/06/11,301
01/07/11,296
01/08/11,299
01/09/11,304
01/10/11,316
01/11/11,328
01/12/11,341
01/01/12,335
01/02/12,366
01/03/12,354
01/04/12,354
01/05/12,370
01/06/12,360
01/07/12,369
01/08/12,375
01/09/12,385
01/10/12,358
01/11/12,392
01/12/12,399
01/01/13,446
01/02/13,447
01/03/13,444
01/04/13,441
01/05/13,428
01/06/13,470
01/07/13,375
01/08/13,381
01/09/13,403
01/10/13,444
01/11/13,446
01/12/13,433
01/01/14,443
01/02/14,420
01/03/14,405
01/04/14,403
01/05/14,451
01/06/14,418
01/07/14,402
01/08/14,456
01/09/14,470
01/10/14,476
01/11/14,442
01/12/14,497
01/01/15,515
01/02/15,540
01/03/15,480
01/04/15,502
01/05/15,502
01/06/15,480
01/07/15,506
01/08/15,518
01/09/15,456
01/10/15,482
01/11/15,504
01/12/15,546
01/01/16,509
01/02/16,515
01/03/16,526
01/04/16,571
01/05/16,560
01/06/16,558
01/07/16,639
01/08/16,584
01/09/16,567
01/10/16,577
01/11/16,571
01/12/16,561
01/01/17,585
01/02/17,597
01/03/17,631
01/04/17,589
01/05/17,613
01/06/17,620
01/07/17,565
01/08/17,560
01/09/17,638
01/10/17,627
01/11/17,712
01/12/17,657
01/01/18,622
01/02/18,637
01/03/18,662
01/04/18,637
01/05/18,657
01/06/18,613
01/07/18,617
01/08/18,598
01/09/18,596
01/10/18,552
01/11/18,614
01/12/18,564
01/01/19,637
01/02/19,665
01/03/19,700
01/04/19,664
01/05/19,600
01/06/19,726
01/07/19,661
01/08/19,706
01/09/19,726
01/10/19,706
01/11/19,696
01/12/19,731
01/01/20,774
01/02/20,716
01/03/20,612
01/04/20,570
01/05/20,698
01/06/20,840
01/07/20,979
01/08/20,977
01/09/20,965
01/10/20,949
01/11/20,829
