DATE,construction permits
01/01/02,1665
01/02/02,1787
01/03/02,1691
01/04/02,1669
01/05/02,1716
01/06/02,1758
01/07/02,1738
01/08/02,1695
01/09/02,1803
01/10/02,1799
01/11/02,1771
01/12/02,1896
01/01/03,1808
01/02/03,1854
01/03/03,1757
01/04/03,1803
01/05/03,1835
01/06/03,1875
01/07/03,1885
01/08/03,1966
01/09/03,1961
01/10/03,2012
01/11/03,1918
01/12/03,1987
01/01/04,1952
01/02/04,1966
01/03/04,2066
01/04/04,2070
01/05/04,2150
01/06/04,2020
01/07/04,2112
01/08/04,2056
01/09/04,2041
01/10/04,2097
01/11/04,2079
01/12/04,2082
01/01/05,2139
01/02/05,2114
01/03/05,2062
01/04/05,2150
01/05/05,2085
01/06/05,2178
01/07/05,2203
01/08/05,2219
01/09/05,2263
01/10/05,2170
01/11/05,2218
01/12/05,2120
01/01/06,2212
01/02/06,2141
01/03/06,2118
01/04/06,1998
01/05/06,1905
01/06/06,1867
01/07/06,1763
01/08/06,1722
01/09/06,1655
01/10/06,1570
01/11/06,1535
01/12/06,1638
01/01/07,1626
01/02/07,1598
01/03/07,1596
01/04/07,1470
01/05/07,1493
01/06/07,1407
01/07/07,1361
01/08/07,1321
01/09/07,1261
01/10/07,1192
01/11/07,1224
01/12/07,1149
01/01/08,1094
01/02/08,1014
01/03/08,967
01/04/08,1008
01/05/08,995
01/06/08,1180
01/07/08,921
01/08/08,858
01/09/08,797
01/10/08,736
01/11/08,626
01/12/08,554
01/01/09,545
01/02/09,558
01/03/09,513
01/04/09,521
01/05/09,556
01/06/09,601
01/07/09,595
01/08/09,616
01/09/09,609
01/10/09,583
01/11/09,623
01/12/09,664
01/01/10,636
01/02/10,650
01/03/10,687
01/04/10,637
01/05/10,575
01/06/10,587
01/07/10,579
01/08/10,580
01/09/10,563
01/10/10,558
01/11/10,560
01/12/10,632
01/01/11,576
01/02/11,542
01/03/11,583
01/04/11,581
01/05/11,618
01/06/11,636
01/07/11,621
01/08/11,647
01/09/11,610
01/10/11,671
01/11/11,706
01/12/11,697
01/01/12,712
01/02/12,738
01/03/12,806
01/04/12,732
01/05/12,796
01/06/12,794
01/07/12,849
01/08/12,840
01/09/12,930
01/10/12,887
01/11/12,917
01/12/12,941
01/01/13,940
01/02/13,980
01/03/13,936
01/04/13,1012
01/05/13,1003
01/06/13,942
01/07/13,997
01/08/13,964
01/09/13,1004
01/10/13,1044
01/11/13,1029
01/12/13,1005
01/01/14,976
01/02/14,1039
01/03/14,1067
01/04/14,1090
01/05/14,1018
01/06/14,1010
01/07/14,1076
01/08/14,1047
01/09/14,1077
01/10/14,1094
01/11/14,1059
01/12/14,1070
01/01/15,1048
01/02/15,1127
01/03/15,1078
01/04/15,1161
01/05/15,1275
01/06/15,1378
01/07/15,1139
01/08/15,1165
01/09/15,1143
01/10/15,1158
01/11/15,1245
01/12/15,1209
01/01/16,1167
01/02/16,1186
01/03/16,1119
01/04/16,1155
01/05/16,1198
01/06/16,1204
01/07/16,1193
01/08/16,1203
01/09/16,1282
01/10/16,1271
01/11/16,1236
01/12/16,1251
01/01/17,1313
01/02/17,1239
01/03/17,1292
01/04/17,1255
01/05/17,1209
01/06/17,1326
01/07/17,1265
01/08/17,1309
01/09/17,1257
01/10/17,1339
01/11/17,1299
01/12/17,1312
01/01/18,1365
01/02/18,1332
01/03/18,1415
01/04/18,1387
01/05/18,1330
01/06/18,1317
01/07/18,1331
01/08/18,1258
01/09/18,1290
01/10/18,1267
01/11/18,1319
01/12/18,1334
01/01/19,1316
01/02/19,1305
01/03/19,1327
01/04/19,1330
01/05/19,1338
01/06/19,1273
01/07/19,1366
01/08/19,1471
01/09/19,1437
01/10/19,1503
01/11/19,1510
01/12/19,1457
01/01/20,1536
01/02/20,1438
01/03/20,1356
01/04/20,1066
01/05/20,1216
01/06/20,1258
01/07/20,1483
01/08/20,1476
01/09/20,1545
01/10/20,1544
01/11/20,1635
