DATE,disposable income
01/01/02,34764
01/02/02,34769
01/03/02,34743
01/04/02,34841
01/05/02,34930
01/06/02,34978
01/07/02,34837
01/08/02,34786
01/09/02,34770
01/10/02,34837
01/11/02,34914
01/12/02,35006
01/01/03,34983
01/02/03,34869
01/03/03,34933
01/04/03,35090
01/05/03,35331
01/06/03,35406
01/07/03,35802
01/08/03,36006
01/09/03,35542
01/10/03,35650
01/11/03,35849
01/12/03,35875
01/01/04,35819
01/02/04,35859
01/03/04,35981
01/04/04,36105
01/05/04,36274
01/06/04,36276
01/07/04,36320
01/08/04,36394
01/09/04,36381
01/10/04,36374
01/11/04,36252
01/12/04,37570
01/01/05,36196
01/02/05,36188
01/03/05,36293
01/04/05,36382
01/05/05,36521
01/06/05,36571
01/07/05,36549
01/08/05,36563
01/09/05,36406
01/10/05,36642
01/11/05,36918
01/12/05,37084
01/01/06,37432
01/02/06,37537
01/03/06,37579
01/04/06,37533
01/05/06,37488
01/06/06,37548
01/07/06,37485
01/08/06,37440
01/09/06,37644
01/10/06,37804
01/11/06,37921
01/12/06,38038
01/01/07,38046
01/02/07,38164
01/03/07,38268
01/04/07,38237
01/05/07,38184
01/06/07,38093
01/07/07,38093
01/08/07,38086
01/09/07,38143
01/10/07,38050
01/11/07,37975
01/12/07,38084
01/01/08,38095
01/02/08,38061
01/03/08,38019
01/04/08,37839
01/05/08,39623
01/06/08,38544
01/07/08,37906
01/08/08,37658
01/09/08,37731
01/10/08,37906
01/11/08,38165
01/12/08,37948
01/01/09,38056
01/02/09,37639
01/03/09,37603
01/04/09,37915
01/05/09,38515
01/06/09,37851
01/07/09,37647
01/08/09,37521
01/09/09,37560
01/10/09,37369
01/11/09,37445
01/12/09,37625
01/01/10,37603
01/02/10,37572
01/03/10,37671
01/04/10,37962
01/05/10,38246
01/06/10,38290
01/07/10,38328
01/08/10,38413
01/09/10,38348
01/10/10,38378
01/11/10,38439
01/12/10,38688
01/01/11,38827
01/02/11,38903
01/03/11,38765
01/04/11,38672
01/05/11,38611
01/06/11,38768
01/07/11,38855
01/08/11,38786
01/09/11,38689
01/10/11,38734
01/11/11,38704
01/12/11,39032
01/01/12,39302
01/02/12,39520
01/03/12,39639
01/04/12,39771
01/05/12,39782
01/06/12,39794
01/07/12,39487
01/08/12,39309
01/09/12,39472
01/10/12,39745
01/11/12,40282
01/12/12,41286
01/01/13,38891
01/02/13,38679
01/03/13,38720
01/04/13,38853
01/05/13,39054
01/06/13,39071
01/07/13,39004
01/08/13,39063
01/09/13,39194
01/10/13,39064
01/11/13,39165
01/12/13,39265
01/01/14,39432
01/02/14,39655
01/03/14,39851
01/04/14,39979
01/05/14,40108
01/06/14,40269
01/07/14,40367
01/08/14,40528
01/09/14,40624
01/10/14,40769
01/11/14,40941
01/12/14,41171
01/01/15,41456
01/02/15,41596
01/03/15,41457
01/04/15,41517
01/05/15,41565
01/06/15,41581
01/07/15,41678
01/08/15,41759
01/09/15,41845
01/10/15,41889
01/11/15,41847
01/12/15,42018
01/01/16,42149
01/02/16,42177
01/03/16,42189
01/04/16,42107
01/05/16,42064
01/06/16,42058
01/07/16,42163
01/08/16,42166
01/09/16,42263
01/10/16,42326
01/11/16,42388
01/12/16,42440
01/01/17,42622
01/02/17,42759
01/03/17,42947
01/04/17,43004
01/05/17,43268
01/06/17,43257
01/07/17,43355
01/08/17,43391
01/09/17,43452
01/10/17,43545
01/11/17,43571
01/12/17,43628
01/01/18,43967
01/02/18,44065
01/03/18,44229
01/04/18,44314
01/05/18,44421
01/06/18,44538
01/07/18,44678
01/08/18,44777
01/09/18,44720
01/10/18,44799
01/11/18,44837
01/12/18,45274
01/01/19,45271
01/02/19,45328
01/03/19,45288
01/04/19,45155
01/05/19,45114
01/06/19,45148
01/07/19,45168
01/08/19,45364
01/09/19,45405
01/10/19,45391
01/11/19,45558
01/12/19,45428
01/01/20,45747
01/02/20,46013
01/03/20,45351
01/04/20,52423
01/05/20,49875
01/06/20,48933
01/07/20,49172
01/08/20,47502
01/09/20,47758
01/10/20,47335
01/11/20,46622
