DATE,furniture spending
01/01/02,7847
01/02/02,7932
01/03/02,7936
01/04/02,7874
01/05/02,7959
01/06/02,7831
01/07/02,7741
01/08/02,7837
01/09/02,7832
01/10/02,7789
01/11/02,7963
01/12/02,7927
01/01/03,7824
01/02/03,7501
01/03/03,7854
01/04/03,7895
01/05/03,8062
01/06/03,8084
01/07/03,8115
01/08/03,8156
01/09/03,8214
01/10/03,8244
01/11/03,8358
01/12/03,8312
01/01/04,8307
01/02/04,8375
01/03/04,8585
01/04/04,8519
01/05/04,8389
01/06/04,8572
01/07/04,8868
01/08/04,8675
01/09/04,8604
01/10/04,8806
01/11/04,8722
01/12/04,8905
01/01/05,8856
01/02/05,8908
01/03/05,8840
01/04/05,8994
01/05/05,8963
01/06/05,9093
01/07/05,9084
01/08/05,9193
01/09/05,9244
01/10/05,9315
01/11/05,9319
01/12/05,9260
01/01/06,9561
01/02/06,9439
01/03/06,9431
01/04/06,9402
01/05/06,9368
01/06/06,9485
01/07/06,9442
01/08/06,9422
01/09/06,9549
01/10/06,9375
01/11/06,9311
01/12/06,9334
01/01/07,9609
01/02/07,9369
01/03/07,9406
01/04/07,9430
01/05/07,9331
01/06/07,9264
01/07/07,9315
01/08/07,9300
01/09/07,9141
01/10/07,9142
01/11/07,9094
01/12/07,9009
01/01/08,8873
01/02/08,8594
01/03/08,8631
01/04/08,8606
01/05/08,8587
01/06/08,8473
01/07/08,8369
01/08/08,8154
01/09/08,7722
01/10/08,7735
01/11/08,7640
01/12/08,7460
01/01/09,7363
01/02/09,7285
01/03/09,7041
01/04/09,7067
01/05/09,7087
01/06/09,7092
01/07/09,7039
01/08/09,6991
01/09/09,6981
01/10/09,6915
01/11/09,6991
01/12/09,7024
01/01/10,7011
01/02/10,7123
01/03/10,7235
01/04/10,7121
01/05/10,7117
01/06/10,7072
01/07/10,7094
01/08/10,7130
01/09/10,7108
01/10/10,7039
01/11/10,7104
01/12/10,7062
01/01/11,6992
01/02/11,7145
01/03/11,7397
01/04/11,7321
01/05/11,7245
01/06/11,7227
01/07/11,7263
01/08/11,7333
01/09/11,7384
01/10/11,7303
01/11/11,7385
01/12/11,7530
01/01/12,7637
01/02/12,7627
01/03/12,7587
01/04/12,7510
01/05/12,7645
01/06/12,7552
01/07/12,7650
01/08/12,7600
01/09/12,7614
01/10/12,7416
01/11/12,7641
01/12/12,7959
01/01/13,7906
01/02/13,7850
01/03/13,7851
01/04/13,7814
01/05/13,7733
01/06/13,7956
01/07/13,7937
01/08/13,7982
01/09/13,8041
01/10/13,8140
01/11/13,8202
01/12/13,7913
01/01/14,7751
01/02/14,8048
01/03/14,8186
01/04/14,8297
01/05/14,8276
01/06/14,8287
01/07/14,8312
01/08/14,8447
01/09/14,8396
01/10/14,8407
01/11/14,8524
01/12/14,8656
01/01/15,8619
01/02/15,8424
01/03/15,8677
01/04/15,8788
01/05/15,8965
01/06/15,8796
01/07/15,8940
01/08/15,8977
01/09/15,8958
01/10/15,9036
01/11/15,9036
01/12/15,9227
01/01/16,9093
01/02/16,9134
01/03/16,9085
01/04/16,9068
01/05/16,9116
01/06/16,9262
01/07/16,9194
01/08/16,9172
01/09/16,9376
01/10/16,9225
01/11/16,9186
01/12/16,9111
01/01/17,9307
01/02/17,9322
01/03/17,9373
01/04/17,9266
01/05/17,9329
01/06/17,9381
01/07/17,9347
01/08/17,9420
01/09/17,9368
01/10/17,9614
01/11/17,9719
01/12/17,9723
01/01/18,9619
01/02/18,9686
01/03/18,9753
01/04/18,9941
01/05/18,9802
01/06/18,9810
01/07/18,9848
01/08/18,9732
01/09/18,9729
01/10/18,9739
01/11/18,9706
01/12/18,9660
01/01/19,9535
01/02/19,9651
01/03/19,9787
01/04/19,9853
01/05/19,9872
01/06/19,9895
01/07/19,9895
01/08/19,9852
01/09/19,9938
01/10/19,9857
01/11/19,9946
01/12/19,9807
01/01/20,10139
01/02/20,10133
01/03/20,7897
01/04/20,4034
01/05/20,7143
01/06/20,9930
01/07/20,10143
01/08/20,10388
01/09/20,10403
01/10/20,10382
01/11/20,10169
