DATE,Total construction spending on saety
01/01/02,8468
01/02/02,8818
01/03/02,8035
01/04/02,8025
01/05/02,8023
01/06/02,8509
01/07/02,7551
01/08/02,7577
01/09/02,7469
01/10/02,7146
01/11/02,7279
01/12/02,7201
01/01/03,6976
01/02/03,7029
01/03/03,6992
01/04/03,6958
01/05/03,7067
01/06/03,7124
01/07/03,7465
01/08/03,7274
01/09/03,7179
01/10/03,7664
01/11/03,7166
01/12/03,7054
01/01/04,7164
01/02/04,6770
01/03/04,7114
01/04/04,7171
01/05/04,7196
01/06/04,6964
01/07/04,7181
01/08/04,7341
01/09/04,7049
01/10/04,6412
01/11/04,6908
01/12/04,6748
01/01/05,6899
01/02/05,6874
01/03/05,6673
01/04/05,6652
01/05/05,7002
01/06/05,7694
01/07/05,7480
01/08/05,7449
01/09/05,8067
01/10/05,7709
01/11/05,7679
01/12/05,7226
01/01/06,7423
01/02/06,7733
01/03/06,7688
01/04/06,7753
01/05/06,7747
01/06/06,7545
01/07/06,7583
01/08/06,7229
01/09/06,7834
01/10/06,8103
01/11/06,8155
01/12/06,8456
01/01/07,8828
01/02/07,8709
01/03/07,9284
01/04/07,9314
01/05/07,9657
01/06/07,10017
01/07/07,10213
01/08/07,10254
01/09/07,11371
01/10/07,10912
01/11/07,11727
01/12/07,11514
01/01/08,12175
01/02/08,12262
01/03/08,12669
01/04/08,12186
01/05/08,12719
01/06/08,12255
01/07/08,12858
01/08/08,12843
01/09/08,13153
01/10/08,13623
01/11/08,14815
01/12/08,15143
01/01/09,14383
01/02/09,14684
01/03/09,14050
01/04/09,14154
01/05/09,14535
01/06/09,14665
01/07/09,14068
01/08/09,13322
01/09/09,13232
01/10/09,12893
01/11/09,12865
01/12/09,12936
01/01/10,12215
01/02/10,12187
01/03/10,12164
01/04/10,12193
01/05/10,11746
01/06/10,11358
01/07/10,10842
01/08/10,10738
01/09/10,10670
01/10/10,10461
01/11/10,10209
01/12/10,9553
01/01/11,9755
01/02/11,10057
01/03/11,9997
01/04/11,10210
01/05/11,10280
01/06/11,10716
01/07/11,10470
01/08/11,11099
01/09/11,10486
01/10/11,10147
01/11/11,10565
01/12/11,10916
01/01/12,10712
01/02/12,11004
01/03/12,10765
01/04/12,10522
01/05/12,10623
01/06/12,10471
01/07/12,10853
01/08/12,10533
01/09/12,10200
01/10/12,9931
01/11/12,9706
01/12/12,9842
01/01/13,9248
01/02/13,9817
01/03/13,9223
01/04/13,9760
01/05/13,10207
01/06/13,9639
01/07/13,8778
01/08/13,9254
01/09/13,9565
01/10/13,9426
01/11/13,9852
01/12/13,9322
01/01/14,9776
01/02/14,9203
01/03/14,9345
01/04/14,9270
01/05/14,9520
01/06/14,9316
01/07/14,9936
01/08/14,9287
01/09/14,9439
01/10/14,9780
01/11/14,9294
01/12/14,9016
01/01/15,8534
01/02/15,8448
01/03/15,8560
01/04/15,8350
01/05/15,8189
01/06/15,8623
01/07/15,8583
01/08/15,8491
01/09/15,8642
01/10/15,9092
01/11/15,8164
01/12/15,8305
01/01/16,8365
01/02/16,8380
01/03/16,7818
01/04/16,7959
01/05/16,8181
01/06/16,8116
01/07/16,7920
01/08/16,7668
01/09/16,8172
01/10/16,8289
01/11/16,8203
01/12/16,9080
01/01/17,7879
01/02/17,8318
01/03/17,8599
01/04/17,8413
01/05/17,8659
01/06/17,8054
01/07/17,8500
01/08/17,8826
01/09/17,8699
01/10/17,8815
01/11/17,8767
01/12/17,8794
01/01/18,9424
01/02/18,8984
01/03/18,9298
01/04/18,9553
01/05/18,9731
01/06/18,9439
01/07/18,9361
01/08/18,9339
01/09/18,9023
01/10/18,9366
01/11/18,9164
01/12/18,9705
01/01/19,9316
01/02/19,9893
01/03/19,8821
01/04/19,9710
01/05/19,9943
01/06/19,10270
01/07/19,10489
01/08/19,10968
01/09/19,11026
01/10/19,11624
01/11/19,11920
01/12/19,11921
01/01/20,12928
01/02/20,13403
01/03/20,13758
01/04/20,13670
01/05/20,15981
01/06/20,15345
01/07/20,16577
01/08/20,15675
01/09/20,15129
01/10/20,16170
01/11/20,15412
