DATE,housing starts
01/01/02,1698
01/02/02,1829
01/03/02,1642
01/04/02,1592
01/05/02,1764
01/06/02,1717
01/07/02,1655
01/08/02,1633
01/09/02,1804
01/10/02,1648
01/11/02,1753
01/12/02,1788
01/01/03,1853
01/02/03,1629
01/03/03,1726
01/04/03,1643
01/05/03,1751
01/06/03,1867
01/07/03,1897
01/08/03,1833
01/09/03,1939
01/10/03,1967
01/11/03,2083
01/12/03,2057
01/01/04,1911
01/02/04,1846
01/03/04,1998
01/04/04,2003
01/05/04,1981
01/06/04,1828
01/07/04,2002
01/08/04,2024
01/09/04,1905
01/10/04,2072
01/11/04,1782
01/12/04,2042
01/01/05,2144
01/02/05,2207
01/03/05,1864
01/04/05,2061
01/05/05,2025
01/06/05,2068
01/07/05,2054
01/08/05,2095
01/09/05,2151
01/10/05,2065
01/11/05,2147
01/12/05,1994
01/01/06,2273
01/02/06,2119
01/03/06,1969
01/04/06,1821
01/05/06,1942
01/06/06,1802
01/07/06,1737
01/08/06,1650
01/09/06,1720
01/10/06,1491
01/11/06,1570
01/12/06,1649
01/01/07,1409
01/02/07,1480
01/03/07,1495
01/04/07,1490
01/05/07,1415
01/06/07,1448
01/07/07,1354
01/08/07,1330
01/09/07,1183
01/10/07,1264
01/11/07,1197
01/12/07,1037
01/01/08,1084
01/02/08,1103
01/03/08,1005
01/04/08,1013
01/05/08,973
01/06/08,1046
01/07/08,923
01/08/08,844
01/09/08,820
01/10/08,777
01/11/08,652
01/12/08,560
01/01/09,490
01/02/09,582
01/03/09,505
01/04/09,478
01/05/09,540
01/06/09,585
01/07/09,594
01/08/09,586
01/09/09,585
01/10/09,534
01/11/09,588
01/12/09,581
01/01/10,614
01/02/10,604
01/03/10,636
01/04/10,687
01/05/10,583
01/06/10,536
01/07/10,546
01/08/10,599
01/09/10,594
01/10/10,543
01/11/10,545
01/12/10,539
01/01/11,630
01/02/11,517
01/03/11,600
01/04/11,554
01/05/11,561
01/06/11,608
01/07/11,623
01/08/11,585
01/09/11,650
01/10/11,610
01/11/11,711
01/12/11,694
01/01/12,723
01/02/12,704
01/03/12,695
01/04/12,753
01/05/12,708
01/06/12,757
01/07/12,740
01/08/12,754
01/09/12,847
01/10/12,915
01/11/12,833
01/12/12,976
01/01/13,888
01/02/13,962
01/03/13,1010
01/04/13,835
01/05/13,930
01/06/13,839
01/07/13,880
01/08/13,917
01/09/13,850
01/10/13,925
01/11/13,1100
01/12/13,1002
01/01/14,888
01/02/14,944
01/03/14,970
01/04/14,1043
01/05/14,1007
01/06/14,911
01/07/14,1085
01/08/14,984
01/09/14,1023
01/10/14,1074
01/11/14,1001
01/12/14,1073
01/01/15,1085
01/02/15,886
01/03/15,960
01/04/15,1190
01/05/15,1079
01/06/15,1205
01/07/15,1146
01/08/15,1130
01/09/15,1224
01/10/15,1058
01/11/15,1172
01/12/15,1146
01/01/16,1103
01/02/16,1203
01/03/16,1114
01/04/16,1158
01/05/16,1131
01/06/16,1200
01/07/16,1245
01/08/16,1155
01/09/16,1072
01/10/16,1321
01/11/16,1150
01/12/16,1267
01/01/17,1206
01/02/17,1282
01/03/17,1186
01/04/17,1150
01/05/17,1123
01/06/17,1243
01/07/17,1207
01/08/17,1163
01/09/17,1174
01/10/17,1256
01/11/17,1300
01/12/17,1199
01/01/18,1314
01/02/18,1288
01/03/18,1335
01/04/18,1269
01/05/18,1334
01/06/18,1190
01/07/18,1195
01/08/18,1280
01/09/18,1246
01/10/18,1207
01/11/18,1204
01/12/18,1117
01/01/19,1272
01/02/19,1137
01/03/19,1203
01/04/19,1267
01/05/19,1268
01/06/19,1235
01/07/19,1212
01/08/19,1377
01/09/19,1274
01/10/19,1340
01/11/19,1371
01/12/19,1587
01/01/20,1617
01/02/20,1567
01/03/20,1269
01/04/20,934
01/05/20,1038
01/06/20,1265
01/07/20,1487
01/08/20,1373
01/09/20,1437
01/10/20,1530
01/11/20,1578
