DATE,import price index for construction items
01/01/02,102
01/02/02,102
01/03/02,102
01/04/02,101.7
01/05/02,101.1
01/06/02,101.4
01/07/02,101
01/08/02,101.6
01/09/02,99.6
01/10/02,100.3
01/11/02,100.2
01/12/02,100.7
01/01/03,101.8
01/02/03,102.7
01/03/03,102.6
01/04/03,102.2
01/05/03,102.2
01/06/03,102.4
01/07/03,103.3
01/08/03,103.2
01/09/03,103
01/10/03,103.5
01/11/03,103.9
01/12/03,103.9
01/01/04,104.5
01/02/04,106.1
01/03/04,106.6
01/04/04,107.5
01/05/04,107.5
01/06/04,107.7
01/07/04,108.9
01/08/04,108.8
01/09/04,108.9
01/10/04,109.3
01/11/04,109.3
01/12/04,109.6
01/01/05,112.2
01/02/05,113.6
01/03/05,113.6
01/04/05,116.5
01/05/05,116.4
01/06/05,116.3
01/07/05,116.7
01/08/05,117.4
01/09/05,118.2
01/10/05,117.9
01/11/05,118.4
01/12/05,119
01/01/06,120.9
01/02/06,121.1
01/03/06,121.2
01/04/06,122.6
01/05/06,123.2
01/06/06,125.2
01/07/06,127.1
01/08/06,127.2
01/09/06,127.7
01/10/06,127.3
01/11/06,127.2
01/12/06,128
01/01/07,130.2
01/02/07,130.6
01/03/07,131.2
01/04/07,131
01/05/07,131.5
01/06/07,134.6
01/07/07,135.5
01/08/07,135.6
01/09/07,135.7
01/10/07,136
01/11/07,130.4
01/12/07,130.6
01/01/08,133.8
01/02/08,134.6
01/03/08,135.2
01/04/08,137.2
01/05/08,138.4
01/06/08,138.4
01/07/08,140.7
01/08/08,140.8
01/09/08,145.3
01/10/08,144.7
01/11/08,143.9
01/12/08,143.8
01/01/09,145.2
01/02/09,144.2
01/03/09,143.3
01/04/09,141.6
01/05/09,137.2
01/06/09,137.8
01/07/09,138.3
01/08/09,138.2
01/09/09,139.3
01/10/09,138.6
01/11/09,137.9
01/12/09,138.5
01/01/10,138.3
01/02/10,137.6
01/03/10,138.8
01/04/10,138.7
01/05/10,139.6
01/06/10,139.3
01/07/10,139.4
01/08/10,139.5
01/09/10,140.7
01/10/10,141.9
01/11/10,141.9
01/12/10,141.9
01/01/11,143
01/02/11,149
01/03/11,147.3
01/04/11,143.5
01/05/11,145
01/06/11,145.1
01/07/11,145.3
01/08/11,145.5
01/09/11,145.7
01/10/11,146.5
01/11/11,147.2
01/12/11,147.5
01/01/12,149.3
01/02/12,155.2
01/03/12,155.2
01/04/12,155.5
01/05/12,155.4
01/06/12,155.6
01/07/12,156.7
01/08/12,158.1
01/09/12,160.2
01/10/12,161.3
01/11/12,161.2
01/12/12,161.8
01/01/13,162.5
01/02/13,158.1
01/03/13,156.6
01/04/13,155.2
01/05/13,155.6
01/06/13,155.5
01/07/13,155
01/08/13,154.4
01/09/13,153.9
01/10/13,152.3
01/11/13,152.3
01/12/13,152.6
01/01/14,152.9
01/02/14,148.4
01/03/14,148.3
01/04/14,146.1
01/05/14,145.9
01/06/14,145.9
01/07/14,146.1
01/08/14,146.1
01/09/14,146.1
01/10/14,146
01/11/14,146
01/12/14,146
01/01/15,147
01/02/15,147
01/03/15,146.9
01/04/15,146.5
01/05/15,146.8
01/06/15,146.2
01/07/15,146.6
01/08/15,144.9
01/09/15,144.2
01/10/15,142.8
01/11/15,142.5
01/12/15,142
01/01/16,138.3
01/02/16,138.1
01/03/16,138.1
01/04/16,138.1
01/05/16,138.1
01/06/16,138.1
01/07/16,138.2
01/08/16,138.2
01/09/16,138.3
01/10/16,138.3
01/11/16,138.3
01/12/16,138
01/01/17,136.6
01/02/17,136.3
01/03/17,135.7
01/04/17,135.3
01/05/17,135.5
01/06/17,136.6
01/07/17,137.6
01/08/17,137.9
01/09/17,141
01/10/17,140.9
01/11/17,141.1
01/12/17,141.6
01/01/18,142.6
01/02/18,141.7
01/03/18,141.9
01/04/18,142.8
01/05/18,142.6
01/06/18,142.6
01/07/18,142.9
01/08/18,143.1
01/09/18,143.1
01/10/18,143.9
01/11/18,143.9
01/12/18,143.9
01/01/19,145.6
01/02/19,145.3
01/03/19,145.4
01/04/19,143.1
01/05/19,143.2
01/06/19,143.1
01/07/19,142.9
01/08/19,142.7
01/09/19,142.2
01/10/19,141.3
01/11/19,141.4
01/12/19,141.5
01/01/20,142.2
01/02/20,142.2
01/03/20,141.5
01/04/20,140
01/05/20,139.9
01/06/20,139.9
01/07/20,140.7
01/08/20,140.6
01/09/20,141.1
01/10/20,141
01/11/20,141.2
