DATE,total construction spending
01/01/02,858654
01/02/02,862338
01/03/02,844551
01/04/02,858240
01/05/02,850935
01/06/02,846777
01/07/02,847129
01/08/02,839008
01/09/02,832134
01/10/02,839690
01/11/02,844697
01/12/02,855921
01/01/03,863855
01/02/03,859225
01/03/03,851132
01/04/03,859459
01/05/03,866814
01/06/03,880865
01/07/03,891264
01/08/03,901839
01/09/03,911589
01/10/03,925732
01/11/03,925985
01/12/03,948491
01/01/04,938525
01/02/04,937813
01/03/04,961159
01/04/04,967602
01/05/04,974381
01/06/04,983087
01/07/04,1006184
01/08/04,1013616
01/09/04,1012080
01/10/04,1015719
01/11/04,1022994
01/12/04,1037480
01/01/05,1046082
01/02/05,1066848
01/03/05,1071745
01/04/05,1081012
01/05/05,1093341
01/06/05,1105896
01/07/05,1119101
01/08/05,1129163
01/09/05,1148438
01/10/05,1160831
01/11/05,1172090
01/12/05,1184677
01/01/06,1195642
01/02/06,1205639
01/03/06,1205169
01/04/06,1193296
01/05/06,1180581
01/06/06,1172128
01/07/06,1157926
01/08/06,1145907
01/09/06,1135753
01/10/06,1122914
01/11/06,1121749
01/12/06,1135406
01/01/07,1137917
01/02/07,1139032
01/03/07,1146624
01/04/07,1150590
01/05/07,1161581
01/06/07,1163511
01/07/07,1155448
01/08/07,1159077
01/09/07,1158580
01/10/07,1152491
01/11/07,1132908
01/12/07,1115141
01/01/08,1111347
01/02/08,1096648
01/03/08,1103446
01/04/08,1101252
01/05/08,1101547
01/06/08,1090098
01/07/08,1086952
01/08/08,1070075
01/09/08,1059579
01/10/08,1055959
01/11/08,1035033
01/12/08,999139
01/01/09,975099
01/02/09,971708
01/03/09,963793
01/04/09,932482
01/05/09,920020
01/06/09,912530
01/07/09,911438
01/08/09,900112
01/09/09,887241
01/10/09,871391
01/11/09,858493
01/12/09,842609
01/01/10,822114
01/02/10,814885
01/03/10,821849
01/04/10,829664
01/05/10,823447
01/06/10,821943
01/07/10,799694
01/08/10,802030
01/09/10,807728
01/10/10,801372
01/11/10,804151
01/12/10,789395
01/01/11,759964
01/02/11,758376
01/03/11,769157
01/04/11,769437
01/05/11,775251
01/06/11,794839
01/07/11,792381
01/08/11,811953
01/09/11,813660
01/10/11,808378
01/11/11,812050
01/12/11,821367
01/01/12,830610
01/02/12,824368
01/03/12,829288
01/04/12,841740
01/05/12,850928
01/06/12,858009
01/07/12,858934
01/08/12,862726
01/09/12,866588
01/10/12,875366
01/11/12,872052
01/12/12,871809
01/01/13,862722
01/02/13,873583
01/03/13,864510
01/04/13,879728
01/05/13,888752
01/06/13,899295
01/07/13,917756
01/08/13,929061
01/09/13,938121
01/10/13,951214
01/11/13,964122
01/12/13,979211
01/01/14,986260
01/02/14,988686
01/03/14,992669
01/04/14,1005874
01/05/14,1008219
01/06/14,1007404
01/07/14,1012845
01/08/14,1015367
01/09/14,1019841
01/10/14,1045556
01/11/14,1045279
01/12/14,1056957
01/01/15,1069804
01/02/15,1082913
01/03/15,1096842
01/04/15,1124063
01/05/15,1146611
01/06/15,1165374
01/07/15,1160162
01/08/15,1171227
01/09/15,1167658
01/10/15,1158638
01/11/15,1156239
01/12/15,1163964
01/01/16,1177837
01/02/16,1182838
01/03/16,1205835
01/04/16,1201301
01/05/16,1205015
01/06/16,1226699
01/07/16,1224739
01/08/16,1226469
01/09/16,1234396
01/10/16,1249011
01/11/16,1270727
01/12/16,1279177
01/01/17,1262209
01/02/17,1288089
01/03/17,1281815
01/04/17,1275303
01/05/17,1285076
01/06/17,1274918
01/07/17,1276001
01/08/17,1267435
01/09/17,1273595
01/10/17,1277708
01/11/17,1300051
01/12/17,1313781
01/01/18,1348653
01/02/18,1373812
01/03/18,1358387
01/04/18,1362805
01/05/18,1362246
01/06/18,1341076
01/07/18,1333714
01/08/18,1332656
01/09/18,1316355
01/10/18,1301777
01/11/18,1287767
01/12/18,1289604
01/01/19,1314616
01/02/19,1324229
01/03/19,1337504
01/04/19,1356014
01/05/19,1352895
01/06/19,1354080
01/07/19,1366042
01/08/19,1378956
01/09/19,1393304
01/10/19,1386826
01/11/19,1405510
01/12/19,1410267
01/01/20,1437719
01/02/20,1441145
01/03/20,1436727
01/04/20,1387936
01/05/20,1369363
01/06/20,1383647
01/07/20,1398952
01/08/20,1426884
01/09/20,1423963
01/10/20,1458989
01/11/20,1475559
